dato1,dato2,dato3,Salida
-1.289551,-0.615723,0.26709,0.0
-1.044922,-0.560059,0.174316,0.0
-1.015137,-0.459473,0.083496,0.0
-0.811035,-0.413574,0.02832,0.0
-0.672852,-0.377441,0.038574,0.0
-0.760742,-0.367188,0.054199,0.0
-1.216797,-0.591309,0.204102,0.0
-1.011719,-0.472168,0.250488,0.0
-0.780762,-0.427734,0.194824,0.0
-0.693848,-0.488281,0.16748,0.0
-0.853027,-0.580078,0.267578,0.0
-1.050781,-0.630371,0.359863,0.0
-1.262207,-0.54248,0.263672,0.0
-0.735352,-0.496094,0.117676,0.0
-1.037598,-0.519531,0.102539,0.0
-0.817871,-0.35498,0.015625,0.0
-0.729492,-0.435059,0.028809,0.0
-0.758301,-0.384277,0.051758,0.0
-1.010254,-0.479492,0.130371,0.0
-0.727539,-0.425781,0.146484,0.0
-0.998535,-0.508301,0.221191,0.0
-0.706055,-0.427246,0.236816,0.0
-0.70459,-0.461426,0.266113,0.0
-0.869629,-0.5625,0.271973,0.0
-1.161621,-0.561035,0.196777,0.0
-0.902344,-0.496094,0.101074,0.0
-1.005371,-0.502441,0.094238,0.0
-0.816895,-0.418945,0.020996,0.0
-0.680176,-0.39209,0.070801,0.0
-0.780762,-0.382324,0.066406,0.0
-1.185059,-0.549805,0.197754,0.0
-0.910645,-0.44043,0.162598,0.0
-0.802734,-0.421875,0.091309,0.0
-0.678711,-0.532227,0.193359,0.0
-0.722656,-0.533691,0.299316,0.0
-0.985352,-0.590332,0.316406,0.0
-1.321777,-0.65625,0.333984,0.0
-0.909668,-0.492188,0.072754,0.0
-1.047363,-0.509766,-0.000488,0.0
-0.832031,-0.445801,0.018066,0.0
-0.687012,-0.439453,-0.015137,0.0
-0.787109,-0.415039,0.069824,0.0
-1.270508,-0.569824,0.21582,0.0
-0.891113,-0.420898,0.265137,0.0
-0.693848,-0.402344,0.085938,0.0
-0.670898,-0.529297,0.135742,0.0
-0.797852,-0.628418,0.273926,0.0
-1.081543,-0.649902,0.324219,0.0
-0.797363,-0.599609,0.272461,0.0
-0.831055,-0.569336,0.208008,0.0
-0.967285,-0.384277,0.099121,0.0
-0.74707,-0.402832,0.022949,0.0
-0.583984,-0.385742,0.041016,0.0
-0.987793,-0.433105,0.066406,0.0
-0.941894,-0.512695,0.398438,0.0
-1.0625,-0.37793,0.260254,0.0
-0.66748,-0.378906,0.300781,0.0
-0.681152,-0.495117,0.256348,0.0
-0.84668,-0.507324,0.333008,0.0
-0.914551,-0.543945,0.383301,0.0
-1.224609,-0.556152,0.395508,0.0
-0.981445,-0.572754,0.252441,0.0
-0.855469,-0.412109,0.083984,0.0
-0.728027,-0.418457,0.063965,0.0
-0.643555,-0.36084,0.058594,0.0
-0.827148,-0.446777,0.07959,0.0
-1.099609,-0.444336,0.314941,0.0
-0.62207,-0.371582,0.232422,0.0
-0.602539,-0.380859,0.251953,0.0
-0.744629,-0.481445,0.267578,0.0
-0.75293,-0.540527,0.257812,0.0
-1.107422,-0.598633,0.157715,0.0
-0.756836,-0.558105,0.129395,0.0
-0.877441,-0.369141,0.087891,0.0
-0.797852,-0.41748,0.026855,0.0
-0.69043,-0.422363,0.078613,0.0
-0.681641,-0.364258,0.08252,0.0
-1.022461,-0.49707,0.146973,0.0
-0.9375,-0.543457,0.259277,0.0
-0.869141,-0.413574,0.141602,0.0
-0.706055,-0.473145,0.186035,0.0
-0.786621,-0.506348,0.22168,0.0
-0.916504,-0.552246,0.329102,0.0
-0.981445,-0.547852,0.179199,0.0
-0.65625,-0.493164,0.147949,0.0
-1.188965,-0.524414,0.109375,0.0
-0.84375,-0.414551,0.072266,0.0
-0.723633,-0.414062,0.029297,0.0
-0.706543,-0.364746,0.055664,0.0
-0.933594,-0.436035,0.078613,0.0
-0.623535,-0.411621,0.207031,0.0
-1.065918,-0.510254,0.219727,0.0
-0.706543,-0.421875,0.229004,0.0
-0.748535,-0.524414,0.262695,0.0
-0.796875,-0.505859,0.279785,0.0
-1.218262,-0.535645,0.21582,0.0
-1.004883,-0.582031,0.135742,0.0
-1.006348,-0.441406,0.094727,0.0
-0.818848,-0.384766,0.018066,0.0
-0.657227,-0.380371,0.123535,0.0
-0.734375,-0.349609,0.036621,0.0
-1.180176,-0.629395,0.244141,0.0
-1.006348,-0.431641,0.152832,0.0
-0.752441,-0.401855,0.263184,0.0
-0.754883,-0.532227,0.259277,0.0
-0.777344,-0.525391,0.29541,0.0
-0.836426,-0.521973,0.289551,0.0
-1.329102,-0.610352,0.226562,0.0
-1.03418,-0.611816,0.135742,0.0
-0.937988,-0.405273,0.077148,0.0
-0.802734,-0.406738,0.081543,0.0
-0.65625,-0.365234,0.077637,0.0
-0.919922,-0.442383,0.103516,0.0
-0.752441,-0.52002,0.229004,0.0
-1.067871,-0.52832,0.119141,0.0
-0.869141,-0.406738,0.036133,0.0
-0.839844,-0.519043,0.28418,0.0
-0.915039,-0.431641,0.248535,0.0
-0.950195,-0.490723,0.199219,0.0
-0.674805,-0.42041,0.194336,0.0
-0.696289,-0.505859,0.173828,0.0
-0.740723,-0.500488,0.223633,0.0
-0.835937,-0.562012,0.269531,0.0
-1.084961,-0.598145,0.288086,0.0
-0.867188,-0.529297,0.318848,0.0
-0.9375,-0.586426,0.20166,0.0
-1.077148,-0.448242,0.202637,0.0
-0.789062,-0.374023,0.098633,0.0
-0.782715,-0.452148,0.04541,0.0
-0.727539,-0.380371,0.066895,0.0
-0.960938,-0.430176,0.053711,0.0
-1.168457,-0.619629,0.246094,0.0
-0.661133,-0.50293,0.393555,0.0
-1.0625,-0.449219,0.239746,0.0
-0.868652,-0.351562,0.189941,0.0
-0.723633,-0.326172,0.275879,0.0
-0.714355,-0.5,0.239746,0.0
-0.661621,-0.49707,0.255859,0.0
-0.631348,-0.450684,0.220215,0.0
-0.729492,-0.449707,0.275879,0.0
-0.975586,-0.552734,0.325684,0.0
-1.240234,-0.57959,0.305176,0.0
-0.882812,-0.490723,0.261719,0.0
-1.026367,-0.54541,0.271973,0.0
-0.759766,-0.348633,0.15918,0.0
-0.721191,-0.397949,0.133789,0.0
-0.692383,-0.389648,0.09668,0.0
-0.761719,-0.412109,0.147461,0.0
-1.280762,-0.514648,0.211426,0.0
-0.788574,-0.425293,0.272461,0.0
-0.776855,-0.459473,0.135254,0.0
-0.615234,-0.462891,0.144043,0.0
-0.75293,-0.531738,0.244629,0.0
-0.880859,-0.550781,0.245605,0.0
-1.326172,-0.625977,0.268066,0.0
-0.953613,-0.641602,0.163574,0.0
-1.03125,-0.439453,0.118164,0.0
-0.751465,-0.423828,0.015625,0.0
-0.779297,-0.390625,0.021973,0.0
-0.847168,-0.421387,0.051758,0.0
-1.291504,-0.514648,0.159668,0.0
-0.979004,-0.472168,0.155273,0.0
-0.709473,-0.335938,0.235352,0.0
-0.669922,-0.483887,0.165527,0.0
-0.798828,-0.557129,0.333008,0.0
-1.131836,-0.578613,0.337402,0.0
-1.281738,-0.576172,0.259766,0.0
-0.920898,-0.581543,0.092285,0.0
-1.010254,-0.458496,0.066406,0.0
-0.763184,-0.434082,0.007812,0.0
-0.657715,-0.38623,0.046875,0.0
-0.928223,-0.36377,0.059082,0.0
-0.869141,-0.546875,0.331055,0.0
-0.817383,-0.371094,0.233398,0.0
-0.846191,-0.478516,0.229004,0.0
-0.657715,-0.438477,0.203613,0.0
-0.717773,-0.547852,0.223633,0.0
-0.708008,-0.484375,0.259277,0.0
-1.043457,-0.520996,0.21582,0.0
-0.769531,-0.491211,0.182129,0.0
-1.214355,-0.529297,0.137695,0.0
-0.834473,-0.429199,0.140625,0.0
-0.612305,-0.349121,0.04834,0.0
-0.658691,-0.404785,0.072754,0.0
-1.048828,-0.42627,0.077148,0.0
-0.602051,-0.444336,0.243652,0.0
-1.090332,-0.449219,0.171387,0.0
-0.664062,-0.458496,0.246094,0.0
-0.588379,-0.474609,0.181152,0.0
-0.78125,-0.801758,0.305176,0.0
-0.992676,-0.50293,0.26709,0.0
-0.730957,-0.625488,0.223633,0.0
-1.162598,-0.710449,0.080078,0.0
-0.895996,-0.213867,0.065918,0.0
-0.628418,-0.427246,0.050293,0.0
-0.586426,-0.30127,0.039551,0.0
-0.94873,-0.481934,0.09668,0.0
-0.737793,-0.514648,0.220215,0.0
-1.188477,-0.513184,0.27832,0.0
-0.708008,-0.391113,0.223145,0.0
-0.65918,-0.543457,0.219238,0.0
-0.662598,-0.482422,0.241211,0.0
-1.104492,-0.594238,0.311523,0.0
-1.110352,-0.569336,0.27002,0.0
-1.026367,-0.581055,0.141602,0.0
-0.881836,-0.380859,0.106934,0.0
-0.679688,-0.405273,0.053223,0.0
-0.620117,-0.353516,0.057129,0.0
-1.008789,-0.486328,0.043457,0.0
-1.246582,-0.665039,0.233398,0.0
-0.991211,-0.407227,0.279297,0.0
-0.763672,-0.422852,0.297852,0.0
-0.62793,-0.492188,0.227539,0.0
-0.663574,-0.439941,0.256836,0.0
-1.109375,-0.56543,0.301758,0.0
-1.279297,-0.618164,0.263184,0.0
-0.960938,-0.563965,0.086426,0.0
-0.830078,-0.395996,0.069824,0.0
-0.657715,-0.414062,0.060059,0.0
-0.659668,-0.360352,0.055664,0.0
-1.075684,-0.456055,0.089844,0.0
-1.175293,-0.591797,0.280273,0.0
-1.057617,-0.484375,0.310547,0.0
-0.688477,-0.414551,0.179688,0.0
-0.630859,-0.477051,0.145996,0.0
-0.679688,-0.474121,0.254395,0.0
-1.132324,-0.568359,0.293457,0.0
-0.778809,-0.508789,0.256348,0.0
-1.056152,-0.614258,0.172852,0.0
-0.795898,-0.364258,0.120605,0.0
-0.663086,-0.356934,0.066406,0.0
-0.812988,-0.410645,0.084961,0.0
-1.029297,-0.422852,0.07373,0.0
-0.63623,-0.48584,0.268555,0.0
-1.128906,-0.45752,0.212402,0.0
-0.617188,-0.380859,0.182617,0.0
-0.661621,-0.541016,0.204102,0.0
-0.759277,-0.500977,0.251953,0.0
-1.283691,-0.568359,0.176758,0.0
-0.873535,-0.630371,0.134277,0.0
-0.786133,-0.355469,0.057129,0.0
-0.645996,-0.414551,0.026367,0.0
-0.760742,-0.368652,0.083984,0.0
-0.977051,-0.43457,0.099121,0.0
-0.702148,-0.538086,0.21875,0.0
-0.821289,-0.480469,0.225098,0.0
-0.956543,-0.461914,0.141113,0.0
-0.635254,-0.474609,0.181641,0.0
-0.675781,-0.514648,0.236816,0.0
-1.006348,-0.601562,0.3125,0.0
-1.399414,-0.595703,0.282227,0.0
-1.012207,-0.573242,0.101562,0.0
-0.819824,-0.40332,0.110352,0.0
-0.736328,-0.40918,0.052734,0.0
-0.633789,-0.355957,0.078125,0.0
-0.915039,-0.395508,0.053711,0.0
-1.134766,-0.651367,0.292969,0.0
-1.117676,-0.491211,0.393066,0.0
-0.67334,-0.374023,0.22998,0.0
-0.633301,-0.548828,0.188477,0.0
-0.701172,-0.48877,0.185059,0.0
-1.20166,-0.561523,0.185059,0.0
-0.65332,-0.447754,0.188965,0.0
-1.150879,-0.555664,0.163574,0.0
-0.771973,-0.405762,0.102539,0.0
-0.710449,-0.376465,0.039062,0.0
-0.683594,-0.375,0.0625,0.0
-0.974121,-0.43457,0.067871,0.0
-0.723633,-0.453613,0.168945,0.0
-1.078613,-0.496094,0.258789,0.0
-0.654297,-0.475586,0.23291,0.0
-0.661621,-0.522461,0.253906,0.0
-1.086426,-0.604004,0.311523,0.0
-1.133301,-0.494141,0.151855,0.0
-0.780273,-0.544922,0.124512,0.0
-1.100098,-0.484375,0.164551,0.0
-0.833984,-0.41748,0.117187,0.0
-0.670898,-0.367676,0.062988,0.0
-0.813477,-0.376465,0.071777,0.0
-1.223145,-0.551758,0.145996,0.0
-0.825684,-0.487305,0.32373,0.0
-0.753906,-0.35791,0.151855,0.0
-0.726074,-0.531738,0.233398,0.0
-0.726562,-0.508301,0.299805,0.0
-1.069336,-0.652832,0.345215,0.0
-1.158203,-0.549316,0.297363,0.0
-1.020508,-0.583496,0.164551,0.0
-0.880859,-0.37207,0.072266,0.0
-0.719727,-0.429199,0.030762,0.0
-0.566406,-0.323242,0.006348,0.0
-0.930176,-0.503906,0.077148,0.0
-1.044434,-0.662598,0.353516,0.0
-0.953613,-0.443848,0.243652,0.0
-0.754883,-0.499023,0.237305,0.0
-0.734375,-0.525391,0.197754,0.0
-0.700684,-0.490234,0.203125,0.0
-1.162109,-0.648438,0.300781,0.0
-0.726074,-0.493652,0.234863,0.0
-1.152344,-0.595703,0.144043,0.0
-0.741211,-0.387207,0.081543,0.0
-0.748047,-0.41748,0.050293,0.0
-0.766602,-0.416992,0.075195,0.0
-1.171875,-0.477539,0.081543,0.0
-0.780762,-0.343262,0.343262,0.0
-1.111328,-0.390625,0.149902,0.0
-0.659668,-0.467285,0.239746,0.0
-0.73584,-0.497559,0.27832,0.0
-0.715332,-0.498047,0.232422,0.0
-1.052734,-0.586914,0.146484,0.0
-0.899414,-0.548828,0.115723,0.0
-1.009277,-0.494141,0.096191,0.0
-0.838379,-0.427734,0.052246,0.0
-0.75293,-0.422363,0.056641,0.0
-0.657715,-0.367676,0.05127,0.0
-0.851563,-0.446777,0.084473,0.0
-0.650879,-0.440918,0.181152,0.0
-1.107422,-0.545898,0.228027,0.0
-0.716797,-0.48584,0.223633,0.0
-0.710938,-0.543945,0.240234,0.0
-0.76123,-0.498535,0.223633,0.0
-1.074219,-0.512695,0.15918,0.0
-0.894043,-0.512695,0.0625,0.0
-1.097168,-0.482422,0.08252,0.0
-0.814941,-0.403809,0.056152,0.0
-0.741699,-0.404297,0.04541,0.0
-0.666992,-0.354004,0.081543,0.0
-1.050781,-0.487793,0.083008,0.0
-0.65332,-0.506836,0.27002,0.0
-0.899414,-0.39209,0.056152,0.0
-0.594727,-0.531738,0.196289,0.0
-0.730957,-0.526855,0.232422,0.0
-0.832519,-0.538574,0.248047,0.0
-1.353027,-0.629883,0.23584,0.0
-1.058105,-0.560059,0.113281,0.0
-0.90332,-0.472656,0.074707,0.0
-0.760254,-0.464844,0.071777,0.0
-0.766113,-0.383301,0.106445,0.0
-0.90625,-0.432129,0.079102,0.0
-1.070801,-0.574707,0.280273,0.0
-0.935059,-0.486328,0.300781,0.0
-0.86377,-0.354004,0.229004,0.0
-0.527832,-0.612305,0.38916,0.0
-0.588867,-0.554199,0.363281,0.0
-1.001953,-0.435547,0.230469,0.0
-1.253418,-0.652832,0.336426,0.0
-0.982422,-0.659668,0.165039,0.0
-0.785645,-0.458008,0.3125,0.0
-0.706055,-0.398926,0.276367,0.0
-0.725098,-0.381836,0.220703,0.0
-0.943359,-0.477051,0.259277,0.0
-0.400391,-0.413574,0.344727,0.0
-1.175781,-0.431641,0.192383,0.0
-0.598633,-0.315918,0.416504,0.0
-0.661133,-0.449219,0.15625,0.0
-0.67627,-0.569336,0.423828,0.0
-0.632324,-0.543945,0.316895,0.0
0.17334,-0.546387,0.433105,0.0
-0.949219,-0.791016,0.381836,0.0
-0.749023,-0.386719,0.255371,0.0
-0.596191,-0.453125,0.212402,0.0
-0.526367,-0.381836,0.108887,0.0
-0.980957,-0.441406,0.104492,0.0
-1.172852,-0.637695,0.249023,0.0
-1.108887,-0.428223,0.175293,0.0
-0.713379,-0.355469,0.199707,0.0
-0.622559,-0.460938,0.181152,0.0
-0.725586,-0.458496,0.279785,0.0
-1.228027,-0.632324,0.383789,0.0
-1.483887,-0.485352,0.300781,0.0
-1.035645,-0.541504,0.105469,0.0
-0.842285,-0.371094,0.082031,0.0
-0.759766,-0.388672,0.040039,0.0
-0.664551,-0.332031,0.030762,0.0
-0.996094,-0.384277,0.019043,0.0
-1.017578,-0.508789,0.277832,0.0
-1.08252,-0.448242,0.305176,0.0
-0.766113,-0.327637,0.220215,0.0
-0.74707,-0.556152,0.20166,0.0
-0.716797,-0.472168,0.248535,0.0
-1.083984,-0.607422,0.302734,0.0
-0.771973,-0.427246,0.225098,0.0
-1.280762,-0.479492,0.093262,0.0
-0.832519,-0.353027,0.050293,0.0
-0.731445,-0.391602,0.003418,0.0
-0.624023,-0.310547,-0.004883,0.0
-0.881836,-0.376465,-0.004395,0.0
-0.797852,-0.509277,0.354004,0.0
-1.184082,-0.405762,0.287109,0.0
-0.754883,-0.380859,0.30957,0.0
-0.725098,-0.482422,0.20166,0.0
-0.773438,-0.498535,0.269043,0.0
-1.098633,-0.475586,0.151367,0.0
-0.811035,-0.469238,0.178711,0.0
-1.089844,-0.524414,0.192871,0.0
-0.90918,-0.395996,0.100098,0.0
-0.720703,-0.358887,0.060059,0.0
-0.743164,-0.356445,0.068848,0.0
-1.127441,-0.395508,0.078613,0.0
-0.899902,-0.388672,0.293945,0.0
-0.722656,-0.353027,0.173828,0.0
-0.666504,-0.445312,0.20752,0.0
-0.800293,-0.556641,0.265137,0.0
-1.044434,-0.532715,0.249023,0.0
-1.331055,-0.570801,0.20166,0.0
-0.945801,-0.569824,0.10498,0.0
-1.057617,-0.383301,0.091797,0.0
-0.866699,-0.371094,0.053223,0.0
-0.796875,-0.398438,0.002441,0.0
-0.831543,-0.32959,0.031738,0.0
-1.085449,-0.445801,0.128906,0.0
-0.841309,-0.37207,0.269043,0.0
-0.92334,-0.430176,0.197754,0.0
-0.754395,-0.466797,0.188965,0.0
-0.707031,-0.45752,0.219727,0.0
-1.181641,-0.643066,0.393555,0.0
-1.116699,-0.523926,0.372559,0.0
-1.132324,-0.541992,0.117187,0.0
-0.852051,-0.374512,0.080566,0.0
-0.792969,-0.394531,-0.041016,0.0
-0.652832,-0.332031,0.011719,0.0
-0.958496,-0.345215,-0.004395,0.0
-0.753418,-0.508789,0.314453,0.0
-1.285156,-0.425293,0.182617,0.0
-0.734375,-0.353027,0.226562,0.0
-0.745605,-0.535156,0.151855,0.0
-0.710449,-0.463379,0.186523,0.0
-0.944336,-0.558594,0.261719,0.0
-0.910645,-0.570801,0.103516,0.0
-1.170898,-0.574707,0.098145,0.0
-0.870605,-0.358398,0.074219,0.0
-0.694824,-0.325195,0.013184,0.0
-0.65918,-0.341797,-0.006348,0.0
-0.985352,-0.61084,0.043457,0.0
-0.704102,-0.47998,0.233887,0.0
-0.990234,-0.460938,0.123535,0.0
-0.644531,-0.444824,0.266602,0.0
-0.536621,-0.480957,0.229004,0.0
-0.899414,-0.495605,0.233887,0.0
-1.225586,-0.552734,0.110352,0.0
-1.047363,-0.532227,0.146973,0.0
-1.04541,-0.371582,0.013672,0.0
-0.641602,-0.415039,0.158691,0.0
-0.883301,-0.362305,0.030762,0.0
-0.78125,-0.369141,-0.108887,0.0
-1.097168,-0.450195,0.103516,0.0
-0.84668,-0.30957,0.156738,0.0
-0.965332,-0.45459,0.086426,0.0
-0.717285,-0.462891,0.175781,0.0
-0.719238,-0.441406,0.096191,0.0
-0.805664,-0.520996,0.229004,0.0
-1.271973,-0.663086,0.116699,0.0
-1.069824,-0.628906,0.068359,0.0
-0.989258,-0.476074,0.086914,0.0
-0.778809,-0.397461,0.074707,0.0
-0.802246,-0.366211,-0.023438,0.0
-1.002441,-0.397949,-0.029785,0.0
-1.03418,-0.493164,0.189941,0.0
-0.77002,-0.292969,0.055664,0.0
-0.844727,-0.496582,0.210449,0.0
-0.757812,-0.452637,0.154785,0.0
-0.827637,-0.507324,0.236816,0.0
-0.962891,-0.562988,0.273438,0.0
-1.425781,-0.626465,0.286621,0.0
-1.074707,-0.556152,0.123535,0.0
-0.928711,-0.385742,0.04834,0.0
-0.825684,-0.398926,-0.038086,0.0
-0.720215,-0.348633,0.027832,0.0
-0.893066,-0.331055,0.036621,0.0
-0.924805,-0.487305,0.205566,0.0
-1.152344,-0.450195,0.242188,0.0
-0.754883,-0.415527,0.177246,0.0
-0.795898,-0.541504,0.146973,0.0
-0.707031,-0.474609,0.250977,0.0
-1.018066,-0.549805,0.195312,0.0
-0.73584,-0.525879,0.20166,0.0
-1.310059,-0.526855,0.079102,0.0
-0.865234,-0.391602,0.085938,0.0
-0.756348,-0.355957,0.016113,0.0
-0.749512,-0.344727,0.021973,0.0
-0.905762,-0.372559,0.046875,0.0
-0.89209,-0.42334,0.163574,0.0
-1.102051,-0.475098,0.117676,0.0
-0.735352,-0.40918,0.212402,0.0
-0.740723,-0.483887,0.207031,0.0
-0.835449,-0.503418,0.261719,0.0
-1.527344,-0.649414,0.256348,0.0
-1.158203,-0.56543,0.130371,0.0
-0.924316,-0.38916,0.041504,0.0
-0.71875,-0.378906,0.007812,0.0
-0.641113,-0.322754,0.005859,0.0
-0.930176,-0.400879,0.033691,0.0
-1.20752,-0.497559,0.29248,0.0
-1.073242,-0.37793,0.186523,0.0
-0.688965,-0.452148,0.161133,0.0
-0.697754,-0.508789,0.169434,0.0
-0.789062,-0.48877,0.20752,0.0
-1.12793,-0.511719,0.153809,0.0
-0.966309,-0.560547,0.091309,0.0
-1.20166,-0.53418,0.081543,0.0
-0.832519,-0.366211,0.006836,0.0
-0.681641,-0.371582,-0.013184,0.0
-0.694336,-0.327148,0.023438,0.0
-1.016602,-0.375,0.057617,0.0
-0.720703,-0.395508,0.161621,0.0
-1.021973,-0.501465,0.142578,0.0
-0.748047,-0.428711,0.174316,0.0
-0.765625,-0.516602,0.188965,0.0
-0.884766,-0.609375,0.213379,0.0
-1.567383,-0.67627,0.265137,0.0
-1.001953,-0.572754,0.17627,0.0
-0.901855,-0.380859,0.071777,0.0
-0.865234,-0.416504,0.027832,0.0
-0.608887,-0.368652,-0.006836,0.0
-0.907227,-0.443848,0.067871,0.0
-0.825684,-0.652344,0.487793,0.0
-1.094727,-0.376465,0.334961,0.0
-0.683105,-0.338379,0.323242,0.0
-0.561523,-0.371094,0.24707,0.0
-0.654785,-0.372559,0.20166,0.0
